slice fieldpos lbda x y rmsx_um rmsy_um
2.000000 1.000000 1.700200 14.979972 10.638634 2.277704 3.233856
3.000000 -1.000000 0.350000 15.274368 19.306277 2.214843 1.705555
3.000000 -1.000000 0.400000 15.177028 17.534760 1.468309 1.678537
3.000000 -1.000000 0.500000 15.072909 15.548940 0.863206 2.157539
3.000000 -1.000000 0.700000 14.985651 13.798693 1.453822 2.871454
3.000000 -1.000000 1.000000 14.928755 12.607765 2.234461 3.436649
3.000000 -1.000000 1.200000 14.902148 12.035640 2.654451 3.721536
3.000000 -1.000000 1.400000 14.877239 11.490493 3.073887 3.998584
3.000000 -1.000000 1.600000 14.851971 10.927492 3.523788 4.289030
3.000000 -1.000000 1.700200 14.838892 10.631911 3.766087 4.442876
3.000000 -0.500000 0.350000 14.998872 19.292318 2.611488 1.492626
3.000000 -0.500000 0.400000 14.903393 17.521719 1.827737 1.324682
3.000000 -0.500000 0.500000 14.801271 15.536897 0.973875 1.755732
3.000000 -0.500000 0.700000 14.715692 13.787500 1.149726 2.476971
3.000000 -0.500000 1.000000 14.659894 12.597134 1.860000 3.046687
3.000000 -0.500000 1.200000 14.633800 12.025274 2.266947 3.332376
3.000000 -0.500000 1.400000 14.609373 11.480377 2.678652 3.609327
3.000000 -0.500000 1.600000 14.584594 10.917630 3.123230 3.898838
3.000000 -0.500000 1.700200 14.571768 10.622182 3.363417 4.051875
3.000000 0.000000 0.350000 14.723316 19.278648 2.979541 1.387565
3.000000 0.000000 0.400000 14.629689 17.508946 2.170881 1.029324
3.000000 0.000000 0.500000 14.529551 15.525096 1.186623 1.367726
3.000000 0.000000 0.700000 14.445639 13.776528 0.929129 2.094103
3.000000 0.000000 1.000000 14.390930 12.586710 1.523078 2.667658
3.000000 0.000000 1.200000 14.365346 12.015108 1.912189 2.953666
3.000000 0.000000 1.400000 14.341396 11.470454 2.314503 3.230003
3.000000 0.000000 1.600000 14.317102 10.907956 2.753277 3.518015
3.000000 0.000000 1.700200 14.304528 10.612637 2.991337 3.669944
3.000000 0.500000 0.350000 14.447703 19.265268 3.316837 1.403608
3.000000 0.500000 0.400000 14.355917 17.496440 2.489314 0.838575
3.000000 0.500000 0.500000 14.257752 15.513540 1.431893 0.996647
3.000000 0.500000 0.700000 14.175495 13.765780 0.815667 1.723655
3.000000 0.500000 1.000000 14.121866 12.576496 1.225313 2.300045
3.000000 0.500000 1.200000 14.096789 12.005145 1.589546 2.585731
3.000000 0.500000 1.400000 14.073312 11.460729 1.980529 2.860801
3.000000 0.500000 1.600000 14.049499 10.898473 2.413208 3.146631
3.000000 0.500000 1.700200 14.037174 10.603279 2.649267 3.297097
3.000000 1.000000 0.350000 14.172030 19.252179 3.622080 1.527997
3.000000 1.000000 0.400000 14.082077 17.484204 2.779063 0.812736
3.000000 1.000000 0.500000 13.985873 15.502230 1.675722 0.653670
3.000000 1.000000 0.700000 13.905261 13.755258 0.813856 1.367856
3.000000 1.000000 1.000000 13.852705 12.566494 0.969352 1.945061
3.000000 1.000000 1.200000 13.828129 11.995390 1.298112 2.229424
3.000000 1.000000 1.400000 13.805123 11.451204 1.675589 2.502299
3.000000 1.000000 1.600000 13.781787 10.889184 2.102286 2.785038
3.000000 1.000000 1.700200 13.769708 10.594113 2.336696 2.933588
4.000000 -1.000000 0.350000 14.027191 19.244070 2.209084 1.682327
4.000000 -1.000000 0.400000 13.938102 17.476509 1.431291 1.625517
4.000000 -1.000000 0.500000 13.842809 15.494972 0.793657 2.035960
4.000000 -1.000000 0.700000 13.762949 13.748372 1.429584 2.684703
4.000000 -1.000000 1.000000 13.710877 12.559860 2.228400 3.205429
4.000000 -1.000000 1.200000 13.686526 11.988876 2.653121 3.468775
4.000000 -1.000000 1.400000 13.663729 11.444807 3.075493 3.725139
4.000000 -1.000000 1.600000 13.640605 10.882907 3.527167 3.994041
4.000000 -1.000000 1.700200 13.628636 10.587900 3.769967 4.136498
4.000000 -0.500000 0.350000 13.752934 19.231303 2.578621 1.479688
4.000000 -0.500000 0.400000 13.665677 17.464582 1.765501 1.285826
4.000000 -0.500000 0.500000 13.572348 15.483959 0.875699 1.639944
4.000000 -0.500000 0.700000 13.494139 13.738138 1.115366 2.293149
4.000000 -0.500000 1.000000 13.443146 12.550140 1.863236 2.818013
4.000000 -0.500000 1.200000 13.419301 11.979399 2.279410 3.082121
4.000000 -0.500000 1.400000 13.396978 11.435558 2.696929 3.338385
4.000000 -0.500000 1.600000 13.374334 10.873892 3.145385 3.606363
4.000000 -0.500000 1.700200 13.362614 10.579006 3.386939 3.748019
4.000000 0.000000 0.350000 13.478620 19.218822 2.918570 1.382739
4.000000 0.000000 0.400000 13.393185 17.452922 2.081946 1.008968
4.000000 0.000000 0.500000 13.301809 15.473188 1.061629 1.257584
4.000000 0.000000 0.700000 13.225240 13.728125 0.864866 1.912402
4.000000 0.000000 1.000000 13.175318 12.540628 1.530763 2.440995
4.000000 0.000000 1.200000 13.151974 11.970123 1.936462 2.705492
4.000000 0.000000 1.400000 13.130120 11.426505 2.348867 2.961221
4.000000 0.000000 1.600000 13.107953 10.865066 2.794383 3.227779
4.000000 0.000000 1.700200 13.096480 10.570298 3.034921 3.368363
4.000000 0.500000 0.350000 13.204248 19.206630 3.227119 1.403160
