lbda,transmission,R,A
4000.0,0.20723552007033308,0.6693109557725619,0.12345352415710496
4001.0,0.19551461271669687,0.6843846116477857,0.12010077563551738
4002.0,0.18477852836209577,0.698300407319175,0.11692106431872924
4003.000000000001,0.1749339112144379,0.711161233341915,0.11390485544364712
4004.000000000001,0.1658964028064376,0.7230610172659342,0.11104257992762807
4005.0000000000005,0.15758999300728577,0.7340851692687733,0.10832483772394091
4006.0000000000014,0.14994632777955405,0.7443111378734533,0.10574253434699268
4007.000000000002,0.1429040149806218,0.7538090167897344,0.10328696822964376
4008.000000000002,0.13640795401656136,0.7626421637006247,0.10094988228281399
4009.0000000000014,0.1304087044952114,0.7708678057971027,0.09872348970768591
4010.0000000000023,0.12486190181380911,0.7785376166188059,0.09660048156738495
4011.0000000000027,0.11972772284047128,0.7856982554688998,0.09457402169062888
4012.0000000000023,0.11497040177282623,0.7923918652097719,0.09263773301740184
4013.0000000000027,0.11055779435441156,0.7986565272491357,0.09078567839645273
4014.000000000003,0.10646098752599914,0.8045266744537498,0.08901233802025103
4015.0000000000036,0.10265395102152652,0.8100334639102084,0.08731258506826511
4016.000000000003,0.09911322720279568,0.8152051121246442,0.08568166067256011
4017.0000000000036,0.0958176554367264,0.8200671955813716,0.08411514898190184
4018.000000000004,0.0927481274661555,0.8246429196820938,0.08260895285175082
4019.0000000000036,0.0898873704514338,0.828953359042888,0.08115927050567816
4020.0000000000045,0.08721975462573503,0.8330176719927639,0.0797625733815012
4021.0000000000045,0.08473112278662431,0.8368532919329893,0.07841558528038639
4022.000000000005,0.08240863912365759,0.8404760980067629,0.07711526286957958
4023.0000000000045,0.08024065514677128,0.8439005673110496,0.07585877754217915
4024.0000000000055,0.07821659072742836,0.8471399106674522,0.07464349860511944
4025.0000000000055,0.0763268284911773,0.8502061937635985,0.07346697774522416
4026.0000000000055,0.07456262000568502,0.8531104452844321,0.07232693470988283
4027.0000000000064,0.0729160023927158,0.855862753475921,0.0712212441313632
4028.0000000000064,0.07137972415699527,0.8584723524227115,0.07014792342029315
4029.0000000000064,0.06994717917084331,0.8609476991758706,0.06910512165328614
4030.0000000000064,0.06861234788253559,0.8632965427363412,0.06809110938112337
4031.0000000000073,0.06736974493010855,0.8655259857833195,0.06710426928657193
4032.0000000000073,0.06621437244250525,0.8676425399329432,0.06614308762455148
4033.000000000007,0.06514167839797738,0.869652175220649,0.06520614638137365
4034.0000000000077,0.06414751948700312,0.8715603644188958,0.06429211609410104
4035.000000000008,0.06322812799490123,0.8733721227296685,0.06339974927543031
4036.000000000008,0.06238008227900069,0.8750920433271874,0.06252787439381194
4037.0000000000077,0.06160028046769032,0.8767243291695819,0.06167539036272781
4038.0000000000086,0.06088591705482622,0.8782728214481553,0.060841261497018344
4039.000000000009,0.06023446210369934,0.8797410249983286,0.06002451289797203
4040.0000000000086,0.059643642810679826,0.8811321309568764,0.05922422623244392
4041.000000000009,0.05911142721049925,0.8824490369148776,0.05843953587462311
4042.0000000000095,0.058636009833377675,0.883694364784424,0.057669625382198345
4043.00000000001,0.05821579914941288,0.8848704765689862,0.0569137242816008
4044.0000000000095,0.057849406658188725,0.8859794882021015,0.056171105139709784
4045.00000000001,0.057535637501889905,0.8870232815961099,0.055441080902000214
4046.0000000000105,0.05727348249860481,0.8880035150219024,0.054723002479492855
4047.00000000001,0.05706211150930048,0.8889216319215616,0.05401625656913792
4048.0000000000114,0.05690086806743836,0.8897788682381227,0.05332026369443884
4049.000000000011,0.05678926521459486,0.8905762583302095,0.05263447645519566
4050.0000000000114,0.05672698249901481,0.8913146395237561,0.05195837797722896
4051.000000000011,0.05671386410694683,0.8919946553380965,0.05129148055495664
4052.000000000012,0.05674991810911683,0.8926167574092777,0.05063332448160535
4053.000000000012,0.05683531681695671,0.8931812061192046,0.04998347706383859
4054.0000000000123,0.05697039825544081,0.89368806992499,0.04934153181956923
4055.000000000013,0.05715566877175893,0.8941372233684323,0.04870710785980881
4056.0000000000127,0.0573918068117892,0.894528343730616,0.04807984945759473
