wavelength,narrow,wide
10270,0.523322276,0.511382314
10280,0.523671228,0.511506324
10290,0.523452411,0.511582443
10300,0.522401009,0.510450846
10310,0.523099223,0.511154723
10320,0.522496725,0.510583078
10330,0.525045761,0.513258138
10340,0.523267511,0.511255929
10350,0.523095635,0.510892033
10360,0.521810981,0.509532082
10370,0.524031679,0.511892295
10380,0.522710049,0.510551675
10390,0.524294561,0.51236058
10400,0.522576565,0.510361223
10410,0.522091555,0.51010415
10420,0.522457364,0.510279619
10430,0.522638778,0.51055787
10440,0.524071776,0.511858277
10450,0.52371696,0.511540714
10460,0.523725723,0.511728276
10470,0.523030676,0.510750169
10480,0.524328913,0.512179616
10490,0.523952703,0.511845867
10500,0.523306828,0.511248339
10510,0.521672435,0.509371156
10520,0.522490711,0.510360521
10530,0.522691114,0.510408136
10540,0.523796781,0.511585289
10550,0.522653531,0.510327639
10560,0.524159203,0.511918926
10570,0.523405693,0.511038086
10580,0.52299062,0.510594105
10590,0.523070664,0.51069217
10600,0.522746986,0.510389138
10610,0.521913968,0.509401436
10620,0.522867664,0.510646489
10630,0.519485131,0.507073858
10640,0.520828035,0.508499927
10650,0.521597515,0.509003075
10660,0.521074729,0.508608561
10670,0.520860151,0.50824331
10680,0.524110148,0.511683503
10690,0.523198451,0.510554884
10700,0.524273448,0.511876499
10710,0.523186075,0.510577693
10720,0.52338099,0.510876598
10730,0.52310126,0.510517371
10740,0.522410462,0.509864774
10750,0.523548775,0.51111184
10760,0.522658815,0.510210075
10770,0.523554784,0.511083855
10780,0.523719238,0.511163426
10790,0.522935574,0.510298432
10800,0.525218873,0.512713869
10810,0.524971712,0.512372886
10820,0.523276674,0.510457155
10830,0.522287611,0.509290459
10840,0.523965815,0.511210882
10850,0.524014702,0.511252689
10860,0.524899263,0.51207645
10870,0.524792516,0.512074035
10880,0.524209854,0.511227245
10890,0.525516824,0.512677087
10900,0.523925313,0.510830188
10910,0.524872379,0.511942551
10920,0.524002594,0.511066103
10930,0.524049762,0.511222276
10940,0.523385201,0.510419212
10950,0.522131305,0.509091693
10960,0.521377165,0.508447494
10970,0.521708604,0.50856622
10980,0.522454294,0.509493247
10990,0.521674385,0.508719972
11000,0.523973275,0.510838862
11010,0.524056291,0.510826061
11020,0.523628231,0.510495891
11030,0.523623255,0.510372681
11040,0.523662998,0.51047471
11050,0.523296963,0.51016238
11060,0.522943796,0.509793304
11070,0.522571943,0.509290666
11080,0.522057024,0.508753861
11090,0.521653189,0.508344281
11100,0.522059331,0.50870477
11110,0.521283584,0.507995159
11120,0.521490382,0.508251205
11130,0.521886136,0.508511422
11140,0.520318738,0.506854864
11150,0.521402875,0.507987227
11160,0.52103633,0.50750739
11170,0.522063227,0.508589848
11180,0.521633553,0.508033394
11190,0.521994104,0.508416989
11200,0.521224167,0.507560983
11210,0.522527213,0.509061788
11220,0.521320829,0.507655667
11230,0.521318478,0.507774813
11240,0.519793455,0.50619968
11250,0.5211297,0.507523732
11260,0.520163667,0.506579584
11270,0.51988249,0.506301142
11280,0.518435959,0.504715682
11290,0.5198846,0.506209405
11300,0.519432625,0.505697134
11310,0.519642044,0.505966236
11320,0.520331135,0.506629644
11330,0.521202211,0.507681227
11340,0.520310323,0.506650557
11350,0.522576902,0.508938069
11360,0.520912837,0.50714354
11370,0.522412173,0.508637635
11380,0.521475773,0.507617401
11390,0.521049923,0.507065927
11400,0.520311374,0.506229162
11410,0.522328849,0.508229944
11420,0.521450545,0.507532797
11430,0.522517942,0.508631586
11440,0.522378274,0.508428291
11450,0.520139755,0.506092961
11460,0.518649528,0.50465758
11470,0.518599812,0.50449895
11480,0.518420187,0.504150558
11490,0.519693106,0.505650541
11500,0.519954547,0.505838337
11510,0.519872569,0.505675541
11520,0.519556264,0.505259545
11530,0.520433422,0.506120132
11540,0.520710713,0.506428063
11550,0.522068079,0.507896951
11560,0.522868919,0.508531732
11570,0.522944686,0.508574448
11580,0.522674537,0.508227904
11590,0.522160862,0.507760619
11600,0.521110074,0.506683529
11610,0.520479462,0.506174637
