,,snr,exptime,slewtime,calibtime,z,x1,c,t0,ra,dec,magabs,magobs,x0,template,fields,survey,mwebv
elias_s1,1112,20.0,792.4,241.058822716796,150.0,0.34645,-1.415,0.334,61893.355,7.866217,-43.688988,-18.062277,23.323673,7.433193e-06,salt2,elias_s1,lsst,
elias_s1,1135,20.0,1064.08,239.74425989036814,150.0,0.63545,-0.505,-0.097,61898.605,9.137227,-44.719444,-19.323053,23.631046,5.6004965e-06,salt2,elias_s1,lsst,
elias_s1,1139,20.0,1403.68,227.04885572020103,150.0,0.56375,0.515,0.249,61896.895,8.4238205,-44.08607,-18.618916,24.020697,3.9117044e-06,salt2,elias_s1,lsst,
elias_s1,1150,20.0,2309.28,249.6853585947901,150.0,0.73375,-0.965,-0.011,61901.38,9.916154,-42.62987,-19.25054,24.083923,3.6904187e-06,salt2,elias_s1,lsst,
elias_s1,1151,20.0,1901.76,264.6644358946905,150.0,0.67685,0.545,0.131,61899.715,9.533367,-45.094067,-18.933897,24.186798,3.356803e-06,salt2,elias_s1,lsst,
elias_s1,1157,20.0,2445.12,252.85639810478628,150.0,0.77535,-0.655,-0.001,61902.69,10.549399,-43.27832,-18.994648,24.486265,2.5476427e-06,salt2,elias_s1,lsst,
elias_s1,1167,20.0,147.16,246.58669276435086,150.0,0.15985,0.29,-0.034,61892.152,9.981737,-44.9067,-19.361652,20.126665,0.0001412468,salt2,elias_s1,lsst,
elias_s1,1219,20.0,656.5600000000001,219.05495922047635,150.0,0.45525,-0.155,-0.022,61894.816,10.041085,-44.449852,-19.444551,22.639267,1.3961678e-05,salt2,elias_s1,lsst,
elias_s1,1241,20.0,882.96,223.2386627318784,150.0,0.61045,0.495,-0.118,61897.98,9.357761,-44.031174,-19.672638,23.175797,8.517768e-06,salt2,elias_s1,lsst,
elias_s1,1263,20.0,1267.8400000000001,226.93414521818607,150.0,0.51055,1.465,0.366,61895.797,10.444135,-43.829746,-18.296274,24.084646,3.6879592e-06,salt2,elias_s1,lsst,
elias_s1,1362,20.0,1811.2,245.22910505208696,150.0,0.62575,-0.64,0.156,61898.36,9.858637,-45.39365,-18.72384,24.189735,3.347732e-06,salt2,elias_s1,lsst,
elias_s1,1369,20.0,882.96,243.38547693467632,150.0,0.54545,-1.63,-0.069,61896.5,8.273483,-44.34492,-19.187433,23.365877,7.149801e-06,salt2,elias_s1,lsst,
elias_s1,1397,20.0,882.96,260.8561528261446,150.0,0.41245,0.115,0.304,61894.17,11.505331,-44.35851,-18.366755,23.46312,6.537276e-06,salt2,elias_s1,lsst,
elias_s1,1433,20.0,543.36,241.53878388168582,150.0,0.42585,0.58,-0.085,61894.363,10.604989,-43.057186,-19.489183,22.422726,1.7043334e-05,salt2,elias_s1,lsst,
elias_s1,1485,20.0,135.84,247.7015105617597,150.0,0.14515,-0.34,-0.034,61892.117,9.6714735,-44.64873,-19.38027,19.878939,0.00017744728,salt2,elias_s1,lsst,
elias_s1,1513,20.0,1901.76,238.4765854617842,150.0,0.74805,-0.49,-0.072,61901.82,7.8185277,-44.719368,-19.493052,23.892635,4.4014014e-06,salt2,elias_s1,lsst,
elias_s1,1545,20.0,656.5600000000001,273.5498350527499,150.0,0.50215,0.92,-0.065,61895.637,11.01794,-43.00572,-19.636204,22.701582,1.3182939e-05,salt2,elias_s1,lsst,
elias_s1,1658,20.0,792.4,266.30776099179275,150.0,0.49015,-0.525,0.046,61895.418,8.002767,-44.33211,-19.113438,23.161541,8.6303535e-06,salt2,elias_s1,lsst,
elias_s1,1710,20.0,1811.2,273.2897480286424,150.0,0.61135,-1.58,0.121,61898.004,11.760767,-43.409126,-18.706293,24.146015,3.4852874e-06,salt2,elias_s1,lsst,
elias_s1,1830,20.0,2309.28,226.21106978792957,150.0,0.66875,0.89,0.251,61899.492,10.713382,-43.56567,-18.804348,24.28453,3.067841e-06,salt2,elias_s1,lsst,
elias_s1,1891,20.0,2128.16,258.2790706280509,150.0,0.75635,-0.285,-0.035,61902.082,9.674519,-45.63412,-19.404762,24.010225,3.949613e-06,salt2,elias_s1,lsst,
elias_s1,1950,20.0,792.4,280.4228572095809,150.0,0.38105,-0.835,0.256,61893.754,9.963385,-42.463108,-18.344463,23.283087,7.716321e-06,salt2,elias_s1,lsst,
elias_s1,1954,20.0,2897.92,251.9849832887031,150.0,0.79115,-2.02,-0.006,61903.215,9.538929,-44.355976,-19.20152,24.33304,2.9337864e-06,salt2,elias_s1,lsst,
elias_s1,1978,20.0,226.4,225.37916273764026,150.0,0.20045,0.455,0.049,61892.297,9.999612,-45.018433,-19.191141,20.840836,7.316625e-05,salt2,elias_s1,lsst,
elias_s1,2028,20.0,475.44,232.74513212578458,150.0,0.29525,-0.02,0.175,61892.875,8.809418,-45.678253,-18.88376,22.100382,2.2934624e-05,salt2,elias_s1,lsst,
elias_s1,2041,20.0,2445.12,271.13250459881846,150.0,0.76355,-1.815,-0.091,61902.312,11.758007,-43.869328,-19.387114,24.053043,3.796886e-06,salt2,elias_s1,lsst,
elias_s1,2044,20.0,1267.8400000000001,214.5684140463647,150.0,0.51595,-2.635,0.097,61895.902,11.402402,-43.913273,-18.512228,23.896074,4.387477e-06,salt2,elias_s1,lsst,
elias_s1,2061,20.0,2897.92,262.64347028732226,150.0,0.71385,-2.545,0.069,61900.78,8.559768,-45.181866,-18.901773,24.359789,2.8623913e-06,salt2,elias_s1,lsst,
elias_s1,2110,20.0,792.4,266.0170326417664,150.0,0.38325,0.43,0.325,61893.78,11.064217,-43.38304,-18.463717,23.178501,8.496584e-06,salt2,elias_s1,lsst,
elias_s1,2138,20.0,407.52,260.81735122205885,150.0,0.27145,-1.935,0.031,61892.69,8.7419405,-44.98293,-18.8421,21.93292,2.6759411e-05,salt2,elias_s1,lsst,
elias_s1,2145,20.0,1426.32,236.57010645017144,150.0,0.64675,-1.345,-0.031,61898.902,7.600329,-44.054337,-18.998514,24.002056,3.97944e-06,salt2,elias_s1,lsst,
elias_s1,2186,20.0,882.96,270.4982840680078,150.0,0.57455,0.655,-0.016,61897.137,10.748587,-42.55439,-19.516172,23.173143,8.5386155e-06,salt2,elias_s1,lsst,
elias_s1,2194,20.0,1041.44,260.75694842404664,150.0,0.51445,-0.085,0.145,61895.875,8.855555,-44.40742,-18.849161,23.551563,6.025868e-06,salt2,elias_s1,lsst,
elias_s1,2209,20.0,566.0,227.10956351940166,150.0,0.38555,0.075,0.066,61893.812,7.9237614,-43.939785,-18.990469,22.667002,1.3609567e-05,salt2,elias_s1,lsst,
elias_s1,2222,20.0,724.48,254.14727408225667,150.0,0.54585,0.895,-0.104,61896.508,10.720709,-43.970352,-19.654995,22.90023,1.0978737e-05,salt2,elias_s1,lsst,
elias_s1,2263,20.0,588.64,246.64145042939026,150.0,0.45975,0.52,-0.047,61894.89,8.817873,-44.961346,-19.545135,22.564083,1.4962763e-05,salt2,elias_s1,lsst,
elias_s1,2291,20.0,475.44,223.18132720869826,150.0,0.38865,0.865,-0.035,61893.85,7.995969,-44.69324,-19.6545,22.023396,2.461992e-05,salt2,elias_s1,lsst,
elias_s1,2294,20.0,701.84,230.24718157302718,150.0,0.45535,-0.38,-0.008,61894.82,8.693766,-45.51107,-19.308619,22.775768,1.2312243e-05,salt2,elias_s1,lsst,
elias_s1,2333,20.0,2445.12,230.8183105466023,150.0,0.75895,-1.155,-0.017,61902.164,9.722164,-44.851562,-19.076954,24.347149,2.8959105e-06,salt2,elias_s1,lsst,
elias_s1,2343,20.0,2128.16,260.31266690803625,150.0,0.75395,0.15,-0.018,61902.008,10.282555,-42.600906,-19.451124,23.955423,4.1540866e-06,salt2,elias_s1,lsst,
elias_s1,2344,20.0,724.48,245.33437756838558,150.0,0.47155,-0.405,0.019,61895.09,8.263426,-43.27145,-19.136536,23.038202,9.6686035e-06,salt2,elias_s1,lsst,
elias_s1,2373,20.0,1426.32,247.11042552480302,150.0,0.71155,0.56,0.01,61900.71,10.411935,-43.962135,-19.42843,23.824581,4.6861087e-06,salt2,elias_s1,lsst,
elias_s1,2377,20.0,1064.08,241.603460973243,150.0,0.61925,0.125,-0.046,61898.195,8.581474,-43.352505,-19.266048,23.620039,5.657561e-06,salt2,elias_s1,lsst,
elias_s1,2400,20.0,882.96,245.91521382336978,150.0,0.61685,0.68,-0.104,61898.137,9.638745,-44.816116,-19.80016,23.07571,9.3403005e-06,salt2,elias_s1,lsst,
elias_s1,2422,20.0,1403.68,257.1764681408197,150.0,0.55975,-2.07,0.095,61896.81,10.482815,-42.756504,-18.659971,23.961006,4.132782e-06,salt2,elias_s1,lsst,
elias_s1,2470,20.0,1064.08,264.11180433031655,150.0,0.64985,0.13,-0.13,61898.98,8.845596,-44.909035,-19.842674,23.170511,8.559332e-06,salt2,elias_s1,lsst,
elias_s1,2513,20.0,1041.44,227.5400758966603,150.0,0.62485,0.56,-0.056,61898.336,8.049505,-44.29623,-19.721586,23.1882,8.421024e-06,salt2,elias_s1,lsst,
elias_s1,2514,20.0,701.84,244.96204184970549,150.0,0.44805,0.17,0.025,61894.703,10.07656,-43.623573,-19.18187,22.860823,1.1384548e-05,salt2,elias_s1,lsst,
elias_s1,2527,20.0,1064.08,241.2105624601461,150.0,0.60295,0.8,0.013,61897.797,8.1994095,-43.160667,-19.441061,23.374876,7.0907886e-06,salt2,elias_s1,lsst,
elias_s1,2554,20.0,305.64,262.72490306867746,150.0,0.25715,0.805,0.024,61892.594,11.416825,-43.679554,-19.361206,21.279894,4.8830054e-05,salt2,elias_s1,lsst,
elias_s1,2555,20.0,1811.2,256.1059727867991,150.0,0.68755,-1.135,-0.023,61900.016,9.034878,-44.90653,-19.300152,23.86202,4.5272695e-06,salt2,elias_s1,lsst,
elias_s1,2557,20.0,2309.28,253.44996558010664,150.0,0.72485,0.14,0.097,61901.11,9.766243,-42.994976,-19.162611,24.139486,3.5063122e-06,salt2,elias_s1,lsst,
elias_s1,2626,20.0,520.72,236.56707348205816,150.0,0.36355,0.94,0.064,61893.547,8.248691,-43.54596,-19.214314,22.29369,1.9194153e-05,salt2,elias_s1,lsst,
elias_s1,2653,20.0,724.48,264.55377966689537,150.0,0.44205,0.72,0.14,61894.61,10.328491,-45.527706,-19.027868,22.98008,1.0200293e-05,salt2,elias_s1,lsst,
elias_s1,2762,20.0,996.1600000000001,220.74211280994507,150.0,0.62975,0.11,-0.127,61898.46,9.56693,-45.53593,-20.106014,22.824343,1.1773553e-05,salt2,elias_s1,lsst,
elias_s1,2799,20.0,1901.76,226.18301929309396,150.0,0.67275,0.235,0.125,61899.6,10.500637,-45.12464,-18.953428,24.151207,3.46866e-06,salt2,elias_s1,lsst,
elias_s1,2809,20.0,656.5600000000001,246.251794743585,150.0,0.43875,0.365,0.012,61894.555,8.151595,-45.297012,-19.165854,22.8228,1.1790303e-05,salt2,elias_s1,lsst,
elias_s1,2855,20.0,2128.16,241.45870411925648,150.0,0.77225,0.835,0.009,61902.594,9.116212,-44.017982,-19.47521,23.995054,4.0051873e-06,salt2,elias_s1,lsst,
xmm-lss,fieldcalib,,,,1020.0,,,,,,,,,,,,lsst,
xmm-lss,1,20.0,1267.8400000000001,1269.3834439307082,150.0,0.69745,1.18,-0.053,61900.297,37.001274,-3.956882,-19.708796,23.49121,6.37031e-06,salt2,xmm-lss,lsst,
